year,Block,Plot,Code,Snow,Temp,N,ACOROS,ARTSCO,BISBIS,BISVIV,CALLEP,CARsp,CARSCO,CASOCC,CHIJAM,DESCAE,ERISIM,GENALG,LEWPYG,LLOSER,MERLAN,PEDGRO,POTDIV,RHOINT,SALsp,TRIPAR,TRISPI,STELON,FESBRA,LUZSPI,JUNsp,DODPUL,GENAMA,POAALP,,
2007,1,1,XXW,X,W,X,170,170,176,.,162,.,170,.,183,176,.,212,.,.,.,.,.,.,.,.,.,190,197,.,.,.,.,.,,
2007,1,2,XNW,X,W,N,176,170,176,.,.,.,.,212,.,176,.,212,.,.,187,.,.,.,.,.,193,187,193,.,.,.,.,.,,
2007,1,3,XNW,X,W,N,176,176,183,.,162,.,.,183,.,176,.,212,.,.,183,.,.,166,.,.,.,183,.,.,.,.,.,.,,
2007,1,4,XXX,X,X,X,176,176,176,.,.,.,.,.,.,179,.,212,.,.,183,.,183,.,.,.,.,.,.,.,.,.,.,.,,
2007,1,5,XNX,X,X,N,176,176,179,.,155,.,179,183,187,176,.,212,.,.,.,.,183,170,.,.,.,183,.,183,.,.,.,.,,
2007,1,6,XXX,X,X,X,170,176,176,.,166,.,176,183,.,179,.,207,190,.,179,.,.,.,.,.,.,183,204,.,.,.,.,.,,
2007,1,7,XNX,X,X,N,176,176,176,.,162,.,183,.,.,176,.,207,.,.,.,.,183,.,.,179,.,193,.,.,.,.,.,.,,
2007,1,8,XXW,X,W,X,176,176,179,.,162,.,.,183,.,176,.,212,.,.,179,.,183,.,.,183,.,193,214,.,.,.,.,.,,
2007,1,9,PNW,P,W,N,170,179,176,.,155,.,.,.,187,176,.,207,.,.,.,.,.,.,.,.,.,190,.,.,.,.,.,.,,
2007,1,10,PNX,P,X,N,176,176,176,.,162,.,.,193,.,176,.,212,.,.,.,.,.,.,.,176,.,204,.,.,.,.,.,.,,
2007,1,11,PXW,P,W,X,176,176,176,.,155,.,.,183,.,176,.,204,.,176,.,.,.,.,.,176,.,187,197,183,.,.,.,.,,
2007,1,12,PXX,P,X,X,176,176,176,.,155,.,176,187,187,176,.,207,.,.,.,.,.,.,.,176,.,190,.,183,.,.,207,.,,
2007,1,13,PNW,P,W,N,166,176,176,.,166,.,.,218,.,176,.,212,.,.,.,.,197,.,.,.,187,190,.,.,.,.,.,.,,
2007,1,14,PXW,P,W,X,170,176,176,.,.,.,.,.,.,176,.,212,.,.,.,.,.,.,.,179,.,190,.,.,.,.,.,.,,
